trimestre,nomeBandeira,nomeFuncao,modalidade,qtdCartoesEmitidos,qtdCartoesAtivos
20243,MasterCard,Crédito,Co-branded,519469,405473
20251,American Express,Crédito,Puro,302476,228566
20244,Elo,Pré-Pago,Puro,332858,238
20244,MasterCard,Pré-Pago,Puro,3302363,655561
20244,MasterCard,Crédito,Híbrido,44598,31797
20251,MasterCard,Crédito,Puro,2769865,851127
20244,MasterCard,Pré-Pago,Puro,4302818,929210
20244,MasterCard,Débito,Co-branded,125335,13711
20243,MasterCard,Crédito,Co-branded,5550842,1449346
20244,VISA,Crédito,Puro,10206758,7378427
20243,MasterCard,Pré-Pago,Puro,605127,233934
20251,MasterCard,Débito,Co-branded,1273279,64985
20251,Elo,Pré-Pago,Puro,505463,494036
20243,Bandeira própria,Crédito,Híbrido,662890,291147
20243,MasterCard,Crédito,Puro,7830628,3369019
20244,MasterCard,Crédito,Híbrido,44416,21702
20243,VISA,Crédito,Co-branded,381012,343686
20243,MasterCard,Crédito,Híbrido,5829416,2108953
20244,MasterCard,Débito,Co-branded,298239,29249
20251,MasterCard,Pré-Pago,Puro,696047,252832
20244,Elo,Crédito,Puro,25910,13879
20251,MasterCard,Crédito,Co-branded,11875908,173415
20251,MasterCard,Pré-Pago,Puro,10695024,4582453
20251,MasterCard,Crédito,Puro,23284907,15779927
20244,VISA,Pré-Pago,Puro,121,3
20243,Elo,Crédito,Puro,456569,313150
20251,VISA,Pré-Pago,Puro,21221,1913
20251,VISA,Pré-Pago,Co-branded,44230,508
20244,MasterCard,Débito,Co-branded,30,1
20244,Elo,Débito,Puro,176601222,27553076
20251,MasterCard,Pré-Pago,Puro,4518025,1013899
20243,MasterCard,Crédito,Híbrido,4765811,4194224
20251,MasterCard,Crédito,Co-branded,17,5
20251,Elo,Débito,Puro,950395,349956
20243,Bandeira própria,Crédito,Co-branded,9538504,1576844
20251,Outras,Débito,Puro,103,94
20251,MasterCard,Crédito,Puro,9123292,3733708
20244,American Express,Crédito,Co-branded,36591,29642
20244,Elo,Pré-Pago,Puro,452285,440347
20251,VISA,Crédito,Puro,35766395,14076338
20243,Hipercard,Crédito,Puro,296380,277375
20251,MasterCard,Crédito,Puro,86361502,18502481
20251,VISA,Débito,Híbrido,84283,80669
20244,Elo,Crédito,Co-branded,841005,122503
20251,Elo,Crédito,Puro,249946,207390
20244,VISA,Débito,Puro,14212736,7295607
20243,MasterCard,Crédito,Híbrido,526584,358497
20243,MasterCard,Débito,Co-branded,108459,17953
20251,American Express,Crédito,Puro,494942,399474
20251,Elo,Débito,Híbrido,123435,123218
20243,Bandeira própria,Crédito,Puro,22027,9333
20244,MasterCard,Crédito,Co-branded,5509384,1384533
20244,American Express,Crédito,Puro,57735,43088
20244,Elo,Pré-Pago,Puro,19181313,139024
20244,VISA,Crédito,Híbrido,1356191,743305
20244,American Express,Crédito,Puro,181,104
20244,American Express,Pré-Pago,Puro,4,2
20244,Outras,Débito,Puro,4129391,1668714
20244,VISA,Débito,Puro,2793642,866397
20243,MasterCard,Crédito,Híbrido,42940,21665
20243,Elo,Pré-Pago,Puro,2215653,781
20243,Outras,Débito,Puro,707,431
20243,MasterCard,Crédito,Híbrido,29688,19238
20244,VISA,Crédito,Co-branded,19972671,17801383
20244,MasterCard,Crédito,Puro,22415560,15338196
20243,VISA,Pré-Pago,Puro,1495852,172352
20251,MasterCard,Débito,Puro,77919727,42558300
20243,Elo,Pré-Pago,Puro,391934,380107
20243,VISA,Débito,Puro,13801946,7536410
20251,VISA,Débito,Puro,3103077,1088826
20251,MasterCard,Débito,Co-branded,32835202,7874149
20243,MasterCard,Débito,Co-branded,28372434,7600198
20244,Outras,Débito,Puro,110,110
20244,Bandeira própria,Crédito,Puro,7059222,2632890
20251,MasterCard,Débito,Puro,1050595,372791
20243,Elo,Crédito,Co-branded,1256911,576024
