trimestre,nomeBandeira,nomeFuncao,modalidade,qtdCartoesEmitidos,qtdCartoesAtivos
20251,American Express,Crédito,Puro,302476,228566
20244,Elo,Pré-Pago,Puro,332858,238
20244,MasterCard,Pré-Pago,Puro,3302363,655561
20244,MasterCard,Crédito,Híbrido,44598,31797
20251,MasterCard,Crédito,Puro,2769865,851127
20244,MasterCard,Pré-Pago,Puro,4302818,929210
20244,MasterCard,Débito,Co-branded,125335,13711
20244,VISA,Crédito,Puro,10206758,7378427
20244,Hipercard,Crédito,Puro,397,15
20251,MasterCard,Débito,Co-branded,1273279,64985
20251,Elo,Pré-Pago,Puro,505463,494036
20244,MasterCard,Crédito,Híbrido,44416,21702
20251,VISA,Crédito,Puro,3958674,2202820
20244,MasterCard,Débito,Co-branded,298239,29249
20251,MasterCard,Pré-Pago,Puro,696047,252832
20244,Elo,Crédito,Puro,25910,13879
20251,MasterCard,Crédito,Co-branded,11875908,173415
20251,MasterCard,Pré-Pago,Puro,10695024,4582453
20251,MasterCard,Crédito,Puro,23284907,15779927
20244,VISA,Pré-Pago,Puro,121,3
20251,VISA,Pré-Pago,Puro,21221,1913
20251,VISA,Pré-Pago,Co-branded,44230,508
20244,MasterCard,Débito,Co-branded,30,1
20244,Elo,Débito,Puro,176601222,27553076
20251,MasterCard,Pré-Pago,Puro,4518025,1013899
20251,MasterCard,Crédito,Puro,6184338,1838284
20251,MasterCard,Crédito,Co-branded,17,5
20251,Elo,Débito,Puro,950395,349956
20251,Outras,Débito,Puro,103,94
20251,MasterCard,Crédito,Puro,9123292,3733708
20244,American Express,Crédito,Co-branded,36591,29642
20244,Elo,Pré-Pago,Puro,452285,440347
20251,VISA,Crédito,Puro,35766395,14076338
20251,MasterCard,Crédito,Puro,86361502,18502481
20251,VISA,Débito,Híbrido,84283,80669
20244,Elo,Crédito,Co-branded,841005,122503
20251,Elo,Crédito,Puro,249946,207390
20244,VISA,Débito,Puro,14212736,7295607
20251,Bandeira própria,Crédito,Puro,150141,31512
20244,MasterCard,Débito,Puro,410752,271763
20251,American Express,Crédito,Puro,494942,399474
20251,Elo,Débito,Híbrido,123435,123218
20244,MasterCard,Crédito,Co-branded,5509384,1384533
20244,American Express,Crédito,Puro,57735,43088
20244,Elo,Pré-Pago,Puro,19181313,139024
20244,VISA,Crédito,Híbrido,1356191,743305
20244,American Express,Crédito,Puro,181,104
20244,American Express,Pré-Pago,Puro,4,2
20244,Outras,Débito,Puro,4129391,1668714
20244,VISA,Débito,Puro,2793642,866397
20244,MasterCard,Crédito,Co-branded,15,4
20244,VISA,Crédito,Co-branded,19972671,17801383
20244,MasterCard,Crédito,Puro,22415560,15338196
20251,MasterCard,Débito,Puro,77919727,42558300
20251,VISA,Débito,Puro,3103077,1088826
20251,MasterCard,Débito,Co-branded,32835202,7874149
20244,Outras,Débito,Puro,110,110
20244,Bandeira própria,Crédito,Puro,7059222,2632890
20251,MasterCard,Débito,Puro,1050595,372791
20251,MasterCard,Crédito,Híbrido,596107,397735
20251,VISA,Crédito,Co-branded,416679,363647
20251,Elo,Crédito,Co-branded,838051,102453
20251,MasterCard,Crédito,Híbrido,23875909,7521184
20251,Elo,Crédito,Puro,4341663,2683083
20251,VISA,Crédito,Co-branded,425431,389941
20251,Hipercard,Crédito,Puro,396,15
20244,VISA,Pré-Pago,Puro,83876762,16691826
20251,Elo,Débito,Puro,175554057,26029694
20244,MasterCard,Pré-Pago,Puro,648224,250026
20244,VISA,Crédito,Co-branded,405291,366901
20244,MasterCard,Pré-Pago,Puro,64367438,31090715
20244,VISA,Crédito,Puro,8646678,6309881
20244,Elo,Pré-Pago,Co-branded,2320243,1633220
20251,VISA,Débito,Co-branded,704316,32180
20244,MasterCard,Débito,Puro,1732038,327460
20244,VISA,Pré-Pago,Puro,1543262,170751
20251,MasterCard,Débito,Puro,1205972,198821
20244,VISA,Crédito,Híbrido,632097,360663
20244,MasterCard,Crédito,Puro,97579022,45941743
20251,VISA,Pré-Pago,Puro,17655786,3307365
20251,VISA,Pré-Pago,Puro,14915,0
20251,MasterCard,Crédito,Híbrido,68495,50330
20251,Elo,Pré-Pago,Puro,251830,200777
20244,Bandeira própria,Pré-Pago,Puro,2212142,2151146
20244,MasterCard,Crédito,Híbrido,22843915,7479390
20244,Elo,Crédito,Híbrido,9770,5534
20244,MasterCard,Crédito,Puro,8299752,5992926
20251,MasterCard,Pré-Pago,Puro,4115208,873127
20251,VISA,Débito,Puro,225274279,50328520
20244,VISA,Crédito,Puro,9429213,5938240
20251,VISA,Crédito,Híbrido,81188,62107
20251,Elo,Pré-Pago,Co-branded,2876,455
20244,MasterCard,Crédito,Co-branded,1095481,15137
20251,MasterCard,Débito,Puro,73432487,11131606
20251,VISA,Crédito,Puro,10087134,6220591
20251,MasterCard,Crédito,Híbrido,6994472,2372103
20251,Elo,Pré-Pago,Puro,77341,71
20251,Outras,Débito,Puro,4113072,1667785
20251,MasterCard,Crédito,Co-branded,249248,9360
20251,American Express,Pré-Pago,Puro,39,10
20251,Elo,Pré-Pago,Co-branded,3154344,1815971
20244,MasterCard,Crédito,Híbrido,4835764,4126303
20244,VISA,Crédito,Puro,686763,374386
20251,Elo,Crédito,Puro,27029,15237
20251,Hipercard,Crédito,Puro,29432,10788
20251,VISA,Débito,Puro,6821894,3064798
20244,Outras,Crédito,Puro,1031630,229115
20244,MasterCard,Débito,Puro,783350,185504
20251,Elo,Crédito,Puro,2537231,1756480
20251,VISA,Crédito,Puro,683712,371268
20244,MasterCard,Crédito,Puro,1232511,1084742
20244,VISA,Débito,Híbrido,101564,51359
20244,Hipercard,Crédito,Puro,278021,259516
20251,VISA,Crédito,Puro,9121671,6553463
20244,MasterCard,Crédito,Co-branded,11879598,193937
20244,MasterCard,Crédito,Puro,8448531,3520960
20244,Elo,Crédito,Puro,252863,211879
20244,VISA,Débito,Puro,186843491,47613952
20244,Bandeira própria,Crédito,Híbrido,663305,287250
20244,VISA,Crédito,Co-branded,454339,398306
20244,VISA,Pré-Pago,Puro,2047870,588251
20244,VISA,Pré-Pago,Puro,12926,463
20251,VISA,Crédito,Híbrido,6510747,1634635
20251,Elo,Pré-Pago,Puro,515248,14192
20251,VISA,Pré-Pago,Puro,90240629,17568747
20244,American Express,Crédito,Puro,33287,25180
20251,VISA,Pré-Pago,Puro,41,25
20251,VISA,Pré-Pago,Puro,1572029,168951
20244,MasterCard,Pré-Pago,Puro,2225551,124277
20244,MasterCard,Crédito,Co-branded,1289283,1031820
20244,VISA,Crédito,Puro,7712645,2251779
20244,MasterCard,Débito,Puro,33182826,10877948
20251,American Express,Crédito,Puro,567,334
20251,VISA,Pré-Pago,Puro,24320182,6680001
20251,MasterCard,Débito,Co-branded,411347,108202
20244,VISA,Pré-Pago,Puro,8,1
20244,Elo,Crédito,Puro,4128964,2433502
20244,VISA,Débito,Puro,6125555,3015183
20244,Outras,Débito,Puro,107423,107423
20251,VISA,Débito,Híbrido,441424,17793
20244,Elo,Crédito,Puro,2624591,1817275
20251,MasterCard,Débito,Puro,401600,269408
20251,VISA,Crédito,Co-branded,227,111
20251,VISA,Crédito,Híbrido,1409415,758134
20244,Elo,Pré-Pago,Puro,762217,125947
20251,Elo,Crédito,Co-branded,1466990,628701
20244,Elo,Débito,Puro,629145,513171
20244,VISA,Crédito,Híbrido,9160524,3405867
20244,American Express,Crédito,Puro,496251,404409
20251,MasterCard,Crédito,Puro,99632486,46150478
20251,MasterCard,Crédito,Híbrido,11450157,1967746
20251,American Express,Crédito,Puro,57624,43760
20244,VISA,Pré-Pago,Puro,17611496,3641842
20251,MasterCard,Crédito,Co-branded,56818093,28653776
20251,VISA,Crédito,Co-branded,13734819,4084371
20244,Elo,Pré-Pago,Puro,6770,0
20244,MasterCard,Crédito,Puro,85148832,18770850
20251,MasterCard,Crédito,Puro,1123615,968830
20251,MasterCard,Pré-Pago,Puro,2291447,119107
20244,MasterCard,Débito,Puro,72230621,41970005
20251,MasterCard,Crédito,Puro,8985147,6429072
20244,MasterCard,Pré-Pago,Puro,13975279,157477
20244,VISA,Crédito,Puro,35369555,14042267
20244,MasterCard,Crédito,Co-branded,600792,463140
20251,VISA,Crédito,Híbrido,673079,386043
20251,MasterCard,Pré-Pago,Puro,66352584,31086176
20251,Elo,Crédito,Híbrido,9988,6129
20244,Elo,Pré-Pago,Puro,1883666,1316223
20244,Elo,Crédito,Puro,9400942,3593808
20251,MasterCard,Crédito,Co-branded,744677,588848
20244,MasterCard,Débito,Puro,939375,377449
20251,MasterCard,Pré-Pago,Puro,3374057,150220
20244,VISA,Crédito,Puro,3345522,1837766
20244,American Express,Crédito,Puro,302172,225117
20244,VISA,Crédito,Co-branded,6281337,399480
20251,Elo,Crédito,Puro,343243,314121
20251,American Express,Crédito,Co-branded,16512,11471
20251,VISA,Crédito,Híbrido,22089,8501
20244,MasterCard,Crédito,Híbrido,560999,381054
20251,Elo,Débito,Puro,613577,512374
20244,VISA,Débito,Co-branded,224762,202286
20251,MasterCard,Débito,Co-branded,175070,42503
20244,Outras,Crédito,Puro,966527,430452
20251,VISA,Crédito,Híbrido,4991621,172758
20251,MasterCard,Débito,Puro,2149650,346733
20251,Elo,Pré-Pago,Puro,1953834,1446336
20244,American Express,Crédito,Co-branded,15452,12165
20244,MasterCard,Crédito,Híbrido,11585485,2322307
20251,VISA,Débito,Puro,14854954,7463320
20251,VISA,Pré-Pago,Puro,2679715,751208
20251,VISA,Crédito,Co-branded,21898838,19697831
20251,Elo,Pré-Pago,Puro,6770,0
20244,Elo,Crédito,Puro,310153,294445
20244,Elo,Débito,Híbrido,193313,109267
20251,VISA,Débito,Puro,1468947,882599
20244,VISA,Crédito,Híbrido,6712824,2064111
20251,Elo,Pré-Pago,Puro,19516421,137846
20251,VISA,Crédito,Co-branded,6309725,395721
20244,MasterCard,Crédito,Híbrido,6415139,2359175
20244,VISA,Crédito,Híbrido,22748,8919
20251,American Express,Crédito,Puro,33303,23931
20251,MasterCard,Crédito,Co-branded,1525690,1246544
20244,VISA,Crédito,Híbrido,47265,39257
20244,VISA,Débito,Híbrido,441423,21662
20251,VISA,Débito,Co-branded,260842,234758
20244,Elo,Crédito,Co-branded,1355792,603805
20251,American Express,Crédito,Puro,32605,24741
20251,VISA,Débito,Puro,11116709,4896035
20244,MasterCard,Crédito,Co-branded,249004,10711
20244,Elo,Pré-Pago,Co-branded,2655,402
20244,Elo,Crédito,Puro,143556,128069
20251,Bandeira própria,Pré-Pago,Puro,2175520,2083641
20244,Bandeira própria,Crédito,Co-branded,9345211,1586368
20244,MasterCard,Crédito,Puro,2944983,916825
20251,VISA,Crédito,Puro,24263875,13341754
20244,VISA,Crédito,Puro,23657048,13087160
20251,MasterCard,Crédito,Híbrido,41919,20173
20244,MasterCard,Débito,Co-branded,1278246,41952
20244,VISA,Débito,Puro,1376489,815380
20244,VISA,Crédito,Co-branded,13448217,3875502
20244,Elo,Crédito,Puro,419012,316762
20251,Outras,Crédito,Puro,988982,399300
20251,American Express,Crédito,Co-branded,38172,30173
20244,VISA,Pré-Pago,Co-branded,31447,299
20244,Elo,Pré-Pago,Puro,231121,184153
20244,VISA,Pré-Pago,Puro,25649338,7087037
20244,American Express,Crédito,Puro,32917,22794
20251,MasterCard,Crédito,Co-branded,5616854,1421675
20244,MasterCard,Crédito,Co-branded,51025959,26291963
20251,MasterCard,Débito,Puro,794362,299280
20244,MasterCard,Crédito,Puro,6114726,1809975
20251,VISA,Crédito,Puro,8400406,6304317
20244,Bandeira própria,Crédito,Puro,146980,31953
20244,MasterCard,Débito,Co-branded,29760788,5024634
20244,VISA,Débito,Co-branded,672621,33665
20251,VISA,Crédito,Puro,7973802,2444860
20251,Bandeira própria,Crédito,Co-branded,9568761,1640276
20244,VISA,Crédito,Co-branded,258,125
20244,MasterCard,Pré-Pago,Puro,4046856,1763097
20251,MasterCard,Crédito,Co-branded,1095905,15265
20251,Elo,Crédito,Puro,384722,302383
20244,Outras,Débito,Co-branded,1292,1292
20244,MasterCard,Débito,Puro,616244,300676
20244,MasterCard,Pré-Pago,Puro,10358699,4580900
20244,Elo,Débito,Puro,1062155,352712
20251,MasterCard,Pré-Pago,Puro,4067021,1466760
20251,MasterCard,Crédito,Híbrido,4876668,4079376
20244,VISA,Débito,Puro,10258141,4879883
20251,Bandeira própria,Crédito,Híbrido,661818,283607
20251,Bandeira própria,Crédito,Puro,7224372,2680197
20251,Elo,Crédito,Puro,150231,132507
20244,Bandeira própria,Crédito,Co-branded,7421638,1477059
20251,Elo,Crédito,Puro,9602654,3699741
20251,Outras,Débito,Puro,107203,97416
20251,Outras,Crédito,Puro,1058751,230786
