trimestre,nomeBandeira,nomeFuncao,modalidade,qtdCartoesEmitidos,qtdCartoesAtivos
20251,American Express,Crédito,Puro,302476,228566
20251,MasterCard,Crédito,Puro,2769865,851127
20251,MasterCard,Débito,Co-branded,1273279,64985
20251,Elo,Pré-Pago,Puro,505463,494036
20251,VISA,Crédito,Híbrido,22089,8501
20251,VISA,Crédito,Puro,3958674,2202820
20251,MasterCard,Pré-Pago,Puro,696047,252832
20251,MasterCard,Crédito,Co-branded,11875908,173415
20251,MasterCard,Pré-Pago,Puro,10695024,4582453
20251,MasterCard,Crédito,Puro,23284907,15779927
20251,VISA,Pré-Pago,Puro,21221,1913
20251,VISA,Pré-Pago,Co-branded,44230,508
20251,MasterCard,Pré-Pago,Puro,4518025,1013899
20251,MasterCard,Crédito,Puro,6184338,1838284
20251,MasterCard,Crédito,Co-branded,17,5
20251,Elo,Débito,Puro,950395,349956
20251,Outras,Débito,Puro,103,94
20251,MasterCard,Crédito,Puro,9123292,3733708
20251,VISA,Crédito,Puro,35766395,14076338
20251,MasterCard,Crédito,Puro,86361502,18502481
20251,VISA,Débito,Híbrido,84283,80669
20251,Elo,Pré-Pago,Puro,1953834,1446336
20251,Elo,Crédito,Puro,249946,207390
20251,Bandeira própria,Crédito,Puro,150141,31512
20251,American Express,Crédito,Puro,494942,399474
20251,Elo,Débito,Híbrido,123435,123218
20251,VISA,Débito,Puro,14854954,7463320
20251,VISA,Pré-Pago,Puro,2679715,751208
20251,VISA,Crédito,Co-branded,21898838,19697831
20251,MasterCard,Débito,Puro,77919727,42558300
20251,VISA,Débito,Puro,3103077,1088826
20251,MasterCard,Débito,Co-branded,32835202,7874149
20251,MasterCard,Débito,Puro,1050595,372791
20251,MasterCard,Crédito,Híbrido,596107,397735
20251,VISA,Crédito,Co-branded,416679,363647
20251,Elo,Crédito,Co-branded,838051,102453
20251,MasterCard,Crédito,Híbrido,23875909,7521184
20251,Elo,Crédito,Puro,4341663,2683083
20251,VISA,Crédito,Co-branded,425431,389941
20251,Hipercard,Crédito,Puro,396,15
20251,Elo,Débito,Puro,175554057,26029694
20251,Elo,Pré-Pago,Puro,19516421,137846
20251,VISA,Débito,Co-branded,704316,32180
20251,MasterCard,Débito,Puro,1205972,198821
20251,VISA,Pré-Pago,Puro,17655786,3307365
20251,VISA,Pré-Pago,Puro,14915,0
